muhogo	Cassava
mukama w 'amaju akatumira abapangisa be omutabani bam11he sente ze ez 'obusuuru; omusuubuzi atwnisize egaali ikumi; ebihimba obu babita omumaizi bitumba; t. ebigambo	The land lord sent his son to bis/her tenants for the house rental; The trader ordered for ten bicycles; Beans when put in water will swell; Exaggerate matters
tumbika	To dip into (e.g. Food into salt} = cumya
obu haizire ibura ly 'emikubi abantu batwnbikaga ebitooke hakisura nmdi ha kaamurali enyakuseeriilwemu ekisura	When relish was in scarce(sauce), one would dip plantain into salt with ground pepper
tumbisa	Cause to rise
tumbuka	To swell into a lump, grow into a mature person
akagonza kumanya omubaana owanyina aba yasigire obu haraaba haru111u omwana atumbukireho	Be/she wanted to know, whether among his/her brother's orphans there was any child who was rather mature
tumbura	To exalt, speak well of
abasibensi kukora n 'amaani nikyo kitumbuza ekyaro /.y. abo	Hard working of the inhabitants brings progress in their village
tumburuka	To be very tall, rise to a great height
oburo obubaire nibusisa nk 'oburaasiriira hati butumburukire	The millet crop that appeared stunted is now flourishing
akamutumiririza kutagira mwana ondi ow'okutuma	He/she kept on sending him/her due to lack of another child to send
tumya	To send for from a distance
tuna	To gaze, tuna tungalllira stand motionless
tunama	To show through (e.g. Bones through flesh), protrude
amagufa gakamutunamira enaku	His/her bones protruded due to poverty. C. Form, tunamya, ku-, oku-
tunda	To sell
omutabani nuweyamutundiire embuzi ye; omusoro nugwo gwamutundize embuzi ye	It was his/her son who sold the goat on his/her behalf; It was due to graduated tax that he had to sell his goat
tundubara	To swell in water
omuntu atundubara obu aikaarra omubantu akatunuurra kwonka ataina kintu kyona eki arukubaza	A person is sluggish when he/shesits among people without making anycontribution
tundubika	To soften in water, soak
tunduka	To protrude, stick out
tundura	To cause to protrude, squeeze out· pass. Form, tundurwa, ku-, oku-
tuoga	Rr
abantu kwonka abairu baabatungiraga omubulemu; mukama we akamutungisa; akamusaba kumutimgira enkwanzi ze; aikaire naatungisa mugenziwe enkwanzi ze	Ordinary people would acquire slaves during the war; His master made him rich; She asked her to thread her beads; She has been helping her sister to thread her beads
tuogama	To be very steep
akatungamya omutwe gw 'ekifaalisi hakitabu n 'ekisago	He/she raised the head of the mattress on the bed with a pillow. Tungama,ku-, oku -, v.tr
tungamira	To get on top of (a person)
tungeera tunika akamusanga amutungamiire naamuniga yamuteera 11'omwigo; ente etungamiirwe entale ogijunira entale etakainamire kugiruma	He found him on bis top chocking him and for that reason he beat him with a stick; If you are to save the life of a cow that has been attacked by a lion one has to do so before it bows down to bite it
tungeera	To collect, clog, stand, stagnant (water)
tikiri kirungi amaizi kutungeerra haihi n 'eka; ezigati eteeculikire etungeeza amaizi	It is not good for water to clog near a home; A compound without a slope will cause water to collect in it
tungikiirra	To put on the top of
abaleesi b'amaizi ira baayetwekaga ensoha bazitungukiirraho ekintu ki11di	Water carriers long ago used to carry water-jars and then put something else on their tops
tungira	{pf. -tungiire)
ebyokulya ebirukucumbwa obu obona byatungira; munywani we nuweyamuhmgiire omulimo	Buli byaijakuhya, when you see food that is cooking steaming that means it is about to be ready; It is his friend that got her ajob
tungirwa	P ass., =fo reg
tunguka	To grow tall
tungununa	To taste sour
tungura	To fasten pointed narrow part of hoe firmly to handle
abasaija baat1mguruurra bakazi baabo enfuka	Men fastened hoes firmly to handles for their wives
tungurruuka	To come, unstring or unthreaded, come off a rope or stick
tunguurra	To begin to form (grains of millet, etc.)
oburo butungmwire abaana batandike kubulinda enyonyi; akamweta kumutungurourra enkwanzi ze	Grains of mmet have began to form, children should start keeping watch of tbe birds. Tu nguurra, ku-, oku-, v.pr; She invitedberto unstringberbeads
tunguuta	To shake, wobble
tunguutana	Fom1, tunguutaniza, ku-, oku-
obu babutikira omuntu antkutukumira ebyokwesweka bingi atunguutana	When you cover up a shiveringperson with many beddings he/ sbe will perspire
tunjka	To stretch, extend fully
kutunikira omuzaire 413 tuntumuk a ekifuba kitwarwa nk 'ekintu ky 'emigayo	Broadening of the chest to a parent is regarded contemptuous
tuntumuka	To grow very fast
akahuniirra kusanga emiti yabyaire omu mwaka gumu guti	Etunrumukire eri haiguru, he/she was surprised to find that within one year the trees he/she had planted had already matured
tuntura	To be troubled, anxious, worried
Mukama akatutanga kutunturuurra ebintu by 'ensi	The Lord stopped us from being weary of earthly things
tunuurra	To gaze at, behold
bakabasoboorra bazaire baabo ekyabatunuliize akanyonyi akembaganiza	They explained to their parents the reason why they gazed at the special bird
tura	To set out to work
abakozi ekibatuza nyenkyakara nukwo kusangwa baakora izooba litakatembere	The reason why workers set out very early to work is to see to it that by the time the sun gets high in the sky they would have gone a Iongway
tura	To hav sexual intercourse (with a woman) foe the first time
tura	To lay to the charge of
turo	Cl. 9
turuka	To go or come out
orufu; orufu orw'omusaija baruturuk-ira ebiro bbina kandi orw 'omukazibisatu; anywire omubazi ogurukutun1kya; mulllrukye omulumbi; turul..ya omutamiizi natalibaniza abanlu; orufu rwe n1latun1kwe habwabandi abarwaire abakaba bali omuka	Go out of mourning, (the bereaved can now be free) akasaba mukama we amwikirize kugaruka hamulimo amazire kuturuka orufu rwa ise, he/she requested his/her master to allow him/her resume duty after he/she had come out of mourning his/her father'sdeath; It takes four days to come out of mourning for a deceased man and three for a woman; He/she has taken a laxative which has made him/her purge; Take the corpse out of the house (for speeches and burial); Take the drunkard out he/she is disturbing the people's peace; The deceased's funeral ceremony was not held because of the sick one at home
turukya	To bring or take out, eject
omuntu asisikaire enda aturukya orwoya rubi; akanga kuruga omwofiisi ye yayeta poliisi yamuturukya	One with a contaminated stomach brings out bad air; Be/she refused to come out of his/her office consequently be/she called the police which took him/ her out
turumuka	To be languid, slothful
omunt11 alakozesa mubiri gwe aikara aturumukire	A person who does not exercise his/her body is always slothful
turuotuka	To get out ofline, get in front
turuukana	To pass right through
kiba ky 'engeso mbi kutaaha enju y'omun tu okagit11ruukana otaina owoomunju weena akwebembiire	It is bad manners to enter one's house and then pass right through it without being guided by a member of the house
torukwikirizibwa kuturuukiriza omutwe gwawe omwidirisa /ya motoka erukwiruka	You are not allowed to stick out your bead through the window of a moving car
tutubara	To swell when soaked
tutubika	Togurgle
tutumbuka	To be bruised, have lumps on thebody,havescabies
(p f. -tutumbwire)	To cause lumps on the body
tuuba	To be gluttonous, voracious
tuukuurra	To undo (beadwork), untie. Tuum a, ku-, oku-, v.i
amaizi gatuumibwa omuurro ogw'amaani; ebisus11 obu obinaga omukiikaro kimu buli kiro bituuma	Water is made very hot when boiled by a strong fire. Tuum a, ku-, oku-, v.tr; When rubbish is poured in one place daily it heaps up
tuumuuka	Ascend (smoke)
tuura	To dwell, sigh
atwire hakyaro hanu kumara obusumi bwingi baitu titukahuurraaga ngu aibire; ekyamutwize hakyaro kyabo nukwo kutaiba bantu	He/she has been on this village for a long time but we have never heard that he/she bas stolen; The reason why he/ she has lived long on their village is that he/she never steals people's property
tuura	To take off a load (from ones head or another), omuntu ob11 aba atarukusobora kwetuura wenka ekintu ayetwekere bamutuura
atarukusobora kwimuka kutuura omugenyi we; akasaba omuntu ondi aije amutuuze ekigega babagemuliire	Asaba omunlll ondi amumutuurre, he/she that is unable to standup and take a load off the head of his/her visitor will ask another person to do so for him/her; She asked another person to help her take off the basket of food that they brought to them as a present from the bead of its carrier
tuurra	To be sour, be spoilt (beer)
ebyenju ebyengere muno bitunaa amaarwa	Plantains that are too ripe make the beer sour, pass. Of c. Form, turuzibwa, ku-, oku-
tuurra	To infect
ekihinzi bakakimutuliirra omubugenyi	They infected him/her with flu while at the party
tuurruuma	To be grumpy, grumble, growl
omuntu obu ahikaho embwa erukunena igufa; obu ohuurra embwa neetuurruuma	Etuurruuma, when a person approaches a dog that is biting a bone, it growls; Buli haroho omunt11 agisangire neenena igufa, when you hear a dog growling, it means that someone has found it biting a bone· pass. Of c. Form, t1111rr11umibwa, ku-: oku-
tuuta	To swell, be distended
nibagya klltuuta omusiri ogu baraabyaram11 ebitakuli	They are going to pile earth into moulds in the garden on which they will plant potato slips
tuutuka	To sweat, be in a perspiration
obu baamucumikiriire yatuutukira kim11 weena	When they gave him/her a steamed herb bath, he/she perspired the more
tuuya	To sweat
omusana gutuuyisa omuntu obu agukoorraamu emirimo	The sun beat will make a person sweat if he/she works under it
tuuza	To die (used of King only)
Omukama obu atuuza omuguta gwe gwnara ebiro mwenda gutakatabaaziibwe; Omukama Kaabaleega akatuuliza Jinja naan1ga omukuzaahisibwa	When a King dies, his corpse lies in state for nine days before it is buried; King Kaabaleega died while at Jinja on his way back from twa tyaza exile. Twa, o-, genitive particle for nouns in cl. 13. It is written separately before the noun butjoined with a possessive root and self standing pronoun
twalikana	To wrangle, quarrel, bicker
twalirirwa	To have a nap, be drowsy, doze up
ornubingi w'amotoka kutwalirirwa naabinga ky'akabi muno; akatwa/iririrwa ahingwire Kyegegwa	It is very dangerous for a motor driver to doze while he/she is driving; He/she dozed up after he/she had passed Kyegegwa
twaliriza	To go or do carefully or slowly
ornubazi akagunywa mpora natwaliriza yalindwa yagumaramu; orobazo rwe rokamutwaliriza yahinguza esaaha z 'okugamka omuka	He/she drunk the medicine slowly until he/she finally empted its container; He/she was so much engaged in talk such that he/she went beyond the time she was supposed to go back home
twara	To take, carry, conduct
twarraaniza	Root up together, give out two kinds of things
twaza	To drive, frighten off, take, help
tweka	To send, cause to conceive (by fornication)
twekera	To send to, to take to, carry
twekwa	To conceive (by fornication)
twengekeerra	To enlarge, add to, heighten, lengthen
abaleesi b 'amaizi abamu beetweka ensoha bagitwengekeerraaho akasisi k'amaizi; otunyansi otw 'omuroguudo hagati two	Some water collectors carry water-jars on their heads together with a small calabash full of water on top of it. Two, self-standing pron. For nouns in cl. 13; Tutahye, the scanty short grass in the middle of the road did not catch fire. Tyabira,ku, oku,v.i
tyagira	To trudge, plod along
tyagiza	To make a favourite of, pet
tyaguza	To stride along with springy step, walk with a spear, etc. (esp. A short person) in a warlike spirit
tyangya	-To brandish
tyaza	To sound (King's big drum)
tyaza	To sahrpen
amacumu bagatyaza nukwo galunge obwogi bw'okucumita; akabatanga kutyaliza amacumu gaabo haihyoro lye	Spears are sharpened in order that they may be able to pierce an animal easily; He stopped them from sharpening their spears on his whetstone
tyeruka	To break out (rash), sprout, grow up close together (e.g. Mushrooms)
omuntu libamuha mubazi gwona oruseru rutakatyerokire; obutuzi oburukwera butyen1ka habwokuba bumera kiswa kimu	A person is not given any medicine before measles has broken out; Button mushrooms grow up close together because they grow on the same ground
tyetyemura	To cut, tear
tyoka	To slip, slide, give way (as soil)
itaka erya harusa rw 'enguudo enjura nyingi obu egwa lityoka, Ligwa omuruguudo	The soil at the banks of a road slide to the road when it rains heavily
tyokora	To remove with a finger (usu., ghee, butter Vaseline). '
tyongoza	To point finger at (in defiance, scorn)
akaara omuliiso	Pass finger in front of face scornfully
omuti guli	That tree
Vv vanjiri	E-, 11., cl.9,, gospel
Vi	Intensive with okukwata = hold finnly. Viini, e-, n., wine.
vikiza	To bold firmly
Sabbunni y'ensaano y 'okwogiisa ebintu	Soap in powder form for cleaning utensils
wa	Of rules governing its l.V. And its last vowel are explained in Modem Runyoro-Rutooro Grammer, Koln Koppe 1999. Waabu, o-, n. Cl.I,, relative
akafa nk'omuntu ataina waabu	Be/she died like one without a relative. Waaha, word of negative (definable)
wabimbiri	Viper
waihuru	Very large carrion-eating bird
waikiriiraha	Growth left unburnt after grass fire
waimiri	Nest of the black tree ant
Waizikya	Ogre, giant, monster, mythical cannibal
Wakame	Mr. Hare, Brer Rabbit
wakonga	Pangolin, scaly ant-eater
Wamara	Name of the last omucwezi King of Kitara
wania	Inflamed breasts, abscess of the breast
wankuura	Plant with yellow flowers (rather like primerose)
wansazi	Fast asleep at night, "Beauty sleep"
oturo akwijagiire twawansazi	He has had beauty sleep.
weebumbe	Sensitive plant when touched it collects its leaves
Wceb holeke	Beet that has stood for four or five days
weesorole	Flock of large birds seen in November, locust birds
Weewe weza	Thou! You there! Right you are, that was the truth
